Year,Month,Day,Steps
2021,8,11,9780
2021,8,12,8246
2021,8,13,5267
2021,8,14,11368
2021,8,15,16951
2021,8,16,11038
2021,8,17,11165
2021,8,18,12835
2021,8,19,5111
2021,8,20,3427
2021,8,21,23426
2021,8,22,28139
2021,8,23,31270
2021,8,24,27251
2021,8,25,6007
2021,8,26,28213
2021,8,27,7158
2021,8,28,3739
2021,8,29,12261
2021,8,30,8607
2021,8,31,2214
2021,9,1,4296
2021,9,2,8321
2021,9,3,10150
2021,9,4,9882
2021,9,5,8317
2021,9,6,8442
2021,9,7,9116
2021,9,8,12119
2021,9,9,9751
2021,9,10,11767
2021,9,11,8335
2021,9,12,10178
2021,9,13,14117
2021,9,14,10186
2021,9,15,8506
2021,9,16,10687
2021,9,17,12069
2021,9,18,15525
2021,9,19,7515
2021,9,20,8650
2021,9,21,14767
2021,9,22,4628
2021,9,23,12656
2021,9,24,8147
2021,9,25,8043
2021,9,26,8389
2021,9,27,8292
2021,9,28,8274
2021,9,29,13840
2021,9,30,11447
2021,10,1,15885
2021,10,2,9056
2021,10,3,13596
2021,10,4,12275
2021,10,5,9092
2021,10,6,10905
2021,10,7,11528
2021,10,8,8227
2021,10,9,21623
2021,10,10,9274
2021,10,11,9344
2021,10,12,11434
2021,10,13,15564
2021,10,14,9025
2021,10,15,18563
2021,10,16,9759
2021,10,17,22891
2021,10,18,12461
2021,10,19,12684
2021,10,20,11824
2021,10,21,9946
2021,10,22,12369
2021,10,23,8366
2021,10,24,8844
2021,10,25,11704
2021,10,26,8324
2021,10,27,9385
2021,10,28,16051
2021,10,29,9546
2021,10,30,12705
2021,10,31,9842
2021,11,1,8561
2021,11,2,10564
2021,11,3,12617
2021,11,4,13019
2021,11,5,9859
2021,11,6,12952
2021,11,7,10351
2021,11,8,10702
2021,11,9,10246
2021,11,10,15694
2021,11,11,8766
2021,11,12,8203
2021,11,13,12096
2021,11,14,8715
2021,11,15,8551
2021,11,16,15844
2021,11,17,8045
2021,11,18,9861
2021,11,19,12115
2021,11,20,8400
2021,11,21,11038
2021,11,22,12300
2021,11,23,10599
2021,11,24,17214
2021,11,25,16914
2021,11,26,3319
2021,11,27,8319
2021,11,28,18206
2021,11,29,8108
2021,11,30,12062
2021,12,1,8199
2021,12,2,13367
2021,12,3,1865
2021,12,4,7588
2021,12,5,10945
2021,12,6,9222
2021,12,7,10118
2021,12,8,8855
2021,12,9,14216
2021,12,10,14156
2021,12,11,19274
2021,12,12,11975
2021,12,13,11327
2021,12,14,7721
2021,12,15,14317
2021,12,16,13442
2021,12,17,12142
2021,12,18,7322
2021,12,19,14632
2021,12,20,15240
2021,12,21,8446
2021,12,22,12723
2021,12,23,5801
2021,12,24,8186
2021,12,25,11575
2021,12,26,19863
2021,12,27,25881
2021,12,28,10215
2021,12,29,14076
2021,12,30,5082
2021,12,31,10120
2022,1,1,11153
2022,1,2,9321
2022,1,3,11401
2022,1,4,6582
2022,1,5,8887
2022,1,6,6311
2022,1,7,12202
2022,1,8,1965
2022,1,9,6099
2022,1,10,8592
2022,1,11,8172
2022,1,12,11860
2022,1,13,8595
2022,1,14,8688
2022,1,15,8999
2022,1,16,10080
2022,1,17,1576
2022,1,18,8475
2022,1,19,8264
2022,1,20,8003
2022,1,21,5639
2022,1,22,10459
2022,1,23,1972
2022,1,24,10844
2022,1,25,8505
2022,1,26,5461
2022,1,27,8166
2022,1,28,1639
2022,1,29,8293
2022,1,30,9222
2022,1,31,939
2022,2,1,10686
2022,2,2,8082
2022,2,3,8171
2022,2,4,4662
2022,2,5,1484
2022,2,6,19877
2022,2,7,1201
2022,2,8,750
2022,2,9,16872
2022,2,10,14763
2022,2,11,5447
2022,2,12,2045
2022,2,13,2622
2022,2,14,1191
2022,2,15,8174
2022,2,16,8229
2022,2,17,12550
2022,2,18,10718
2022,2,19,19701
2022,2,20,16594
2022,2,21,11769
2022,2,22,8128
2022,2,23,8387
2022,2,24,8363
2022,2,25,11803
2022,2,26,9604
2022,2,27,18472
2022,2,28,8301
2022,3,1,9094
2022,3,2,8720
2022,3,3,8619
2022,3,4,7876
2022,3,5,8590
2022,3,6,11386
2022,3,7,27286
2022,3,8,11372
2022,3,9,9917
2022,3,10,4000
2022,3,11,14865
2022,3,12,11776
2022,3,13,10442
2022,3,14,8502
2022,3,15,8297
2022,3,16,8025
2022,3,17,9382
